idx,y,score,ENCODED_MCT,TA_YM
71901,1,0.02633859626412297,D592366647,
85298,1,0.016286547266337083,FCDFAFB42A,
4290,1,0.015741939800347892,0C25C3B746,
28915,1,0.015723953113798414,51E712A1A7,
84620,1,0.013676528282019623,FB36289140,
57963,1,0.009336583823738594,AA351B2BFF,
40317,0,0.00857584999306347,74E2CC9A6B,
54810,0,0.0073549029493027275,A0995D635E,
55243,1,0.005741849824449988,A1B1D7C33E,
33802,0,0.005540625584533749,605655C22D,
51950,0,0.005364569451954992,98ACFD8C28,
80254,0,0.004698280161502396,ED3A70B3FF,
24025,0,0.0034146764055037544,44544F2DCE,
70807,0,0.0032122678517404997,D218E37580,
37671,0,0.0031501190990310952,6C51C3210B,
17014,0,0.003041313394169754,30A5227B23,
29395,1,0.002908362232008819,53CA4BAE0A,
54802,1,0.0028488549465015005,A0995D635E,
54811,0,0.0027450943588440686,A0995D635E,
76152,0,0.002526605567349207,E2E58BA667,
