ENCODED_MCT,TA_YM,Sales_Risk,Customer_Risk,Market_Risk,RiskScore,p_model,p_final,Alert
000F03E44A,2023-01-01,0.029600000000000015,0.0,0.55645,0.17877500000000002,,0.07151,GREEN
000F03E44A,2023-02-01,0.029599999999999994,0.2,0.56075,0.24006499999999997,,0.096026,GREEN
000F03E44A,2023-03-01,0.029800000000000007,0.0,0.5615,0.18037,,0.072148,GREEN
000F03E44A,2023-04-01,0.031200000000000006,0.0,0.559725,0.1803975,,0.072159,GREEN
000F03E44A,2023-05-01,0.030900000000000007,0.03334,0.5630000000000001,0.19126200000000002,,0.07650480000000001,GREEN
000F03E44A,2023-06-01,0.031700000000000006,0.016659999999999998,0.562325,0.18637549999999997,,0.0745502,GREEN
000F03E44A,2023-07-01,0.031200000000000006,0.05,0.564,0.19668,,0.078672,GREEN
000F03E44A,2023-08-01,0.031299999999999994,0.0,0.563,0.18141999999999997,,0.072568,GREEN
000F03E44A,2023-09-01,0.030799999999999994,0.0,0.559725,0.1802375,,0.072095,GREEN
000F03E44A,2023-10-01,0.030700000000000005,0.04000000000000001,0.56125,0.192655,,0.077062,GREEN
000F03E44A,2023-11-01,0.13160000000000002,0.0,0.55725,0.219815,,0.087926,GREEN
000F03E44A,2023-12-01,0.1318,0.03334,0.5595,0.230572,,0.0922288,GREEN
000F03E44A,2024-01-01,0.1316,0.07547000174886564,0.5595,0.2431310005246597,,0.09725240020986388,GREEN
000F03E44A,2024-02-01,0.1315,0.05741461441053754,0.5553,0.23641438432316125,,0.09456575372926451,GREEN
000F03E44A,2024-03-01,0.1332,0.0,0.546225,0.2171475,,0.086859,GREEN
000F03E44A,2024-04-01,0.13470000000000001,0.0,0.53815,0.21532500000000002,,0.08613000000000001,GREEN
000F03E44A,2024-05-01,0.1381,0.03411276142907908,0.53445,0.2258088284287237,,0.09032353137148949,GREEN
000F03E44A,2024-06-01,0.1442,0.042587807581819695,0.51885,0.22611134227454593,,0.09044453690981838,GREEN
000F03E44A,2024-07-01,0.22260000000000002,0.03605,0.5596,0.267735,,0.10709400000000001,ORANGE
000F03E44A,2024-08-01,0.2456,0.010820000000000001,0.56575,0.271211,,0.1084844,ORANGE
000F03E44A,2024-09-01,0.16410000000000002,0.0,0.5433250000000001,0.22863750000000005,,0.09145500000000002,GREEN
000F03E44A,2024-10-01,0.20850000000000002,0.002399999999999996,0.555325,0.2507175,,0.100287,YELLOW
000F03E44A,2024-11-01,0.2369,0.06394000000000001,0.5634750000000001,0.2829845,,0.11319380000000001,ORANGE
000F03E44A,2024-12-01,0.22840000000000002,0.006744849363232263,0.5576,0.2606634548089697,,0.10426538192358788,YELLOW
002816BA73,2023-01-01,0.2569,0.032537044227638416,0.280875,0.19678361326829152,,0.07871344530731661,GREEN
002816BA73,2023-02-01,0.2571,0.037685296088035676,0.30615000000000003,0.20599058882641072,,0.0823962355305643,GREEN
002816BA73,2023-03-01,0.25780000000000003,0.05294420157010552,0.262075,0.19762576047103167,,0.07905030418841268,GREEN
002816BA73,2023-04-01,0.2592,0.06808936532596413,0.283,0.20900680959778922,,0.0836027238391157,GREEN
002816BA73,2023-05-01,0.2591,0.09819793746644144,0.33755,0.23436438123993247,,0.093745752495973,GREEN
002816BA73,2023-06-01,0.25880000000000003,0.04179199504544304,0.28495,0.20154259851363293,,0.08061703940545317,GREEN
002816BA73,2023-07-01,0.25880000000000003,0.05099960224063661,0.29674999999999996,0.20784488067219098,,0.0831379522688764,GREEN
002816BA73,2023-08-01,0.25960000000000005,0.04957167225711652,0.304875,0.210174001677135,,0.084069600670854,GREEN
